Results Table 1,,,,,,,
,Digital Strain 1 gauge length,Maximum Force,Specimen note 1,Rate 1,Digital Strain 1 at Break (Automatic force drop),Specimen note 2,Specimen note 3
,(mm),(N),,(mm/min),(%),,
1,9.59,3196.2251,,50,2.01,,
2,9.75,3051.6743,,50,3.1,,
3,10.11,2886.5696,,50,0.25,,
4,9.67,2991.3896,,50,2.52,,
,,,,,,,
Results Table 2,,,,,,,
,,,,,,,
,,,,,,,
1,Time,Displacement,Force,Tensile strain (Digital Strain 1),Tensile stress,Tensile displacement,Corrected displacement 1
,(s),(mm),(N),(%),(MPa),(mm),(mm)
,0.08,0.0447,156.598,0.0364,5.3999,0.0037,0.039
,0.1,0.0623,227.4977,0.0973,7.8447,0.0098,0.0542
,0.12,0.0789,291.6808,0.1342,10.058,0.0136,0.0686
,0.14,0.0952,353.3015,0.1553,12.1828,0.0157,0.0828
,0.16,0.1116,413.3695,0.192,14.2541,0.0194,0.0971
,0.18,0.1281,471.1335,0.2312,16.246,0.0234,0.1115
,0.2,0.1445,528.4653,0.2515,18.2229,0.0254,0.126
,0.22,0.161,585.3708,0.2554,20.1852,0.0258,0.1404
,0.24,0.1775,642.1324,0.254,22.1425,0.0257,0.1549
,0.26,0.194,698.4795,0.2526,24.0855,0.0255,0.1695
,0.28,0.2106,754.0416,0.2521,26.0014,0.0255,0.1841
,0.3,0.2271,809.1596,0.2521,27.9021,0.0255,0.1987
,0.32,0.2436,863.3685,0.2522,29.7713,0.0255,0.2132
,0.34,0.2602,916.9695,0.2522,31.6196,0.0255,0.2278
,0.36,0.2768,970.4855,0.2522,33.465,0.0255,0.2425
,0.38,0.2934,1023.5855,0.2522,35.2961,0.0255,0.2572
,0.4,0.31,1075.9824,0.2522,37.1028,0.0255,0.2719
,0.42,0.3265,1127.322,0.2522,38.8732,0.0255,0.2865
,0.44,0.3431,1178.1659,0.2522,40.6264,0.0255,0.3012
,0.46,0.3598,1228.8345,0.3357,42.3736,0.0339,0.316
,0.517,0.4071,1368.4895,0.6317,47.1893,0.0639,0.3581
,0.537,0.4237,1416.1047,0.7354,48.8312,0.0743,0.3729
,0.557,0.4404,1463.2012,0.8395,50.4552,0.0849,0.3878
,0.577,0.4571,1509.4104,0.9437,52.0486,0.0954,0.4026
,0.597,0.4737,1554.8854,1.0479,53.6167,0.1059,0.4175
,0.617,0.4903,1599.2753,1.1517,55.1474,0.1164,0.4324
,0.637,0.5069,1642.8308,1.2554,56.6493,0.1269,0.4472
,0.657,0.5236,1686.0116,1.3596,58.1383,0.1375,0.4622
,0.677,0.5403,1728.4761,1.464,59.6026,0.148,0.4772
,0.697,0.557,1770.1265,1.5683,61.0388,0.1586,0.4922
,0.717,0.5736,1810.6752,1.6722,62.4371,0.1691,0.5072
,0.737,0.5902,1850.2878,1.7758,63.803,0.1795,0.5221
,0.757,0.6069,1889.5963,1.88,65.1585,0.1901,0.5372
,0.777,0.6236,1928.1692,1.9844,66.4886,0.2006,0.5523
,0.797,0.6403,1965.8129,2.0888,67.7867,0.2112,0.5675
